Term,Merriam Webster,Oxford Dictionary,Brave New Words
tardis,X,the name (said to be an acronym of time and relative dimensions in space) of a time machine which had the exterior of a police telephone box in the British TV science fiction series Doctor Who,1969
technothriller,1978,X,1986
telempathic,X,X,1963
teleport,1931,1950s: back-formation from teleportation ( 1930s),1944
teleportation,1931,X,1943
teleporter,X,1940s; earliest use found in The Hartford Courant. From teleport + -er,1967
telescreen,X,X,1932
Tellurian,X,mid 19th century: from Latin tellus,1847
Tellus,X,late Middle English; earliest use found in John Lydgate (c1370–c1449),1928
temporal paradox,X,X,1954
Terra,1946,Latin,1871
terraform,X,1940s: from Latin terra ‘earth’ + the verb form,1942
terraformed,X,X,1942
terraformer,X,X,1942
terraforming,X,X,1942
Terran,X,X,1881
terrene,14th century,Middle English: from Anglo-Norman French,1941
Terrestrial,15th century,late Middle English (in the sense ‘temporal,1873
Terrestrian,X,X,1930
thish,X,X,1953
thoughtcrime,X,1949: from George Orwell's Nineteen Eighty-Four,1949
three-D,X,X,1954
three-v,X,X,1954
tight-beam,X,X,1994
timecop,X,X,1953
time hopper,X,X,1963
timeline,1951,X,1941
time machine,X,X,1894
time paradox,X,early 20th century,1939
timepath,X,X,1934
timescape,X,X,1976
timeslip,X,X,1932
time storm,X,X,1942
time stream,X,X,1931
time-track,X,X,1942
time travel,X,X,1941
time traveler,X,X,1894
time-traveling,X,X,1937
time viewer,X,X,1940
time warp,X,X,1938
tin can,X,X,1940
torch,13th century,Middle English: from Old French torche,1956
torch drive,X,X,1976
torchship,X,X,1953
tractor,1900,late 18th century (in the general sense ‘someone or something that pulls’): from Latin,1931
tractor beam,X,X,1931
transdimensional,X,X,1931
transgalactic,X,X,1930
transhuman,X,X,1952
transhumanity,X,X,1978
Trekker,1835,X,1970
Trekkie,X,X,1970
tri-D,X,X,1947
trideo,X,X,1953
tri-dim,X,X,1951
triffid,X,coined by John Wyndham in Day of the Triffids (1951),1951
tri-v,X,X,1954
tri-vid,X,X,1955
trufan,X,X,1954
Tuckerism,X,X,1959
Tuckerize,X,X,1975
Twonk's disease,X,X,1944
uchronia,X,X,1876
ultradrive,X,X,1951
ultraphone,X,X,1928
ultraviolence,1849,X,1962
ultrawave,X,X,1934
unhuman,X,X,1953
universe,1589,late Middle English: from Old French univers or Latin universum,1965
unperson,1949,1949: coined by George Orwell in the novel Nineteen Eighty-Four,1949
unsuit,X,X,1964
unsuited,1598,X,1966
uplift,14th century,X,1980
uplifting,14th century,X,1980
uptime,1958,X,1973
Uranian,1844,X,1870
utopia,1533,mid 16th century: based on Greek ou ‘not’ + topos ‘place’; the word was first used in the book Utopia (1516) by Sir Thomas More,1613
vac suit,X,X,1939
vacuum suit,X,X,1930
Venerian,X,X,1874
Venusian,1874,X,1874
vessel,14th century,Middle English: from Anglo-Norman French vessel(e),1900
vibroblade,X,X,1940
vibroknife,X,X,1973
vid,1979,X,1985
videophone,1944,X,1945
vidphone,X,X,1953
vidscreen,X,X,1969
viewphone,X,1930s,1964
viewplate,X,X,1928
viewport,X,X,1935
viewscreen,X,X,1939
virus,1599,late Middle English (denoting the venom of a snake): from Latin,1972
vision plate,X,X,1932
vision screen,X,X,1934
visiphone,X,X,1915
visiplate,X,X,1930
visiscreen,X,X,1938
waldo,X,1940s: named after Waldo F. Jones,1942
wallscreen,X,X,1936
warp,before 12th century,Old English weorpan (verb),1946
warp drive,X,X,1949
warp speed,X,1970s: popularized by the US television series Star Trek (originally referring to a faster-than-light speed attained by a spaceship travelling in a space warp),1968
webcast,1995,1990s: from web,1987
Whovian,X,X,1982
widescreen baroque,X,X,1973
wirehead,X,X,1973
wireheading,X,X,1973
world-building,X,X,1965
worldlet,X,mid 19th century; earliest use found in Martin Tupper (1810–1889),1926
